"filename", "language", "C++", "LaTeX", "Markdown", "CMake", "SVG", "qml", "JSON", "CSV", "comment", "blank", "total"
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\details.md", "Markdown", 0, 0, 98, 0, 0, 0, 0, 0, 0, 6, 104
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\diff-details.md", "Markdown", 0, 0, 183, 0, 0, 0, 0, 0, 0, 6, 189
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 176
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\diff.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 0, 0, 7, 48
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 91
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\study\train\RailwaySystem\.VSCodeCounter\2025-11-28_23-37-53\results.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"d:\study\train\RailwaySystem\CMakeLists.txt", "CMake", 0, 0, 0, 59, 0, 0, 0, 0, 0, 12, 71
"d:\study\train\RailwaySystem\README.md", "Markdown", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"d:\study\train\RailwaySystem\accountmanager.cpp", "C++", 327, 0, 0, 0, 0, 0, 0, 0, 5, 34, 366
"d:\study\train\RailwaySystem\accountmanager.h", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 10, 9, 60
"d:\study\train\RailwaySystem\admin.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 0, 14, 70
"d:\study\train\RailwaySystem\admin.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\study\train\RailwaySystem\bookingsystem.cpp", "C++", 529, 0, 0, 0, 0, 0, 0, 0, 46, 51, 626
"d:\study\train\RailwaySystem\bookingsystem.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 7, 7, 62
"d:\study\train\RailwaySystem\city.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"d:\study\train\RailwaySystem\city.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\study\train\RailwaySystem\date.cpp", "C++", 123, 0, 0, 0, 0, 0, 0, 0, 3, 25, 151
"d:\study\train\RailwaySystem\date.h", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"d:\study\train\RailwaySystem\main.cpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 3, 8, 51
"d:\study\train\RailwaySystem\order.cpp", "C++", 199, 0, 0, 0, 0, 0, 0, 0, 6, 43, 248
